Heuristic   Solved   MinTime    MaxTime    AvgTime        MinNode     MaxNode   AvgNode   AvgDeep
       1: 1000/1000   0.0000     27.1246    0.2613             18      68479     4503.3    22

       2: 1000/1000   0.0000     3.2836     0.0479             18      26980     2152.5    22

       3:  942/1000   0.0000     27.8997    1.9528             20      71418    13642.2    21

       4: 1000/1000   0.0000     0.7487     0.0080             18      14483      926.1    22

       5:  845/1000   0.0000     30.6860    2.7493             34      73135    16480.8    21

       1: 1000/1000   0.0000     0.0508     0.0044             18      50027     3392.5    22

       2: 1000/1000   0.0000     0.0306     0.0025             18      18201     1576.7    22

       3: 1000/1000   0.0000     0.8062     0.0491             30     524091    33544.1    22

       4: 1000/1000   0.0000     0.0270     0.0012             23       9479      924.0    23

       5: 1000/1000   0.0000     2.0824     0.1350             24    1256703    84224.8    22

